loc_latitude,loc_longitude,loc_state,loc_region,loc_city,loc_neighborhood,user_id,loc_zip_code,contract_product,contract_status,contract_type,user_age_group
42.47638989565993,-78.42681648269348,PENNSYLVANIA,NORTHEAST,Allentown,Residential North,MEM_000000,17751,BRONZE,ACTIVE,LARGE GROUP,24-28
40.599874184160946,-74.41239418189022,NEW YORK,NORTHEAST,Rochester,Financial District,MEM_000001,90206,SILVER,ACTIVE,INDIVIDUAL,54-58
33.73971135248685,-118.38062495081343,CALIFORNIA,WEST,San Jose,Industrial Zone,MEM_000002,40279,BRONZE,ACTIVE,LARGE GROUP,24-28
41.469703961086076,-85.95510243336943,ILLINOIS,MIDWEST,Naperville,Harbor Side,MEM_000003,74141,BRONZE,CANCELLED,ASSOCIATION,54-58
42.18109099700226,-78.22901413949894,PENNSYLVANIA,NORTHEAST,Allentown,Suburbs,MEM_000004,71355,GOLD,ACTIVE,INDIVIDUAL,44-48
36.19918196886268,-118.62645874146295,CALIFORNIA,WEST,San Francisco,Financial District,MEM_000005,53059,GOLD,CANCELLED,LARGE GROUP,29-33
40.2723608485366,-74.764686408683,NEW YORK,NORTHEAST,Rochester,Park Avenue,MEM_000006,82886,DIAMOND,CANCELLED,ASSOCIATION,49-53
34.94214858325148,-118.87085336857962,CALIFORNIA,WEST,San Francisco,Industrial Zone,MEM_000007,79632,DIAMOND,ACTIVE,SMALL BUSINESS,29-33
42.975851540725714,-88.96779306450604,ILLINOIS,MIDWEST,Chicago,Park Avenue,MEM_000008,49965,SILVER,ACTIVE,LARGE GROUP,34-38
32.074013512102354,-83.88696761770716,GEORGIA,SOUTH,Columbus,Residential North,MEM_000009,44435,BRONZE,CANCELLED,INDIVIDUAL,0-18
41.78537736026188,-88.09960411298782,ILLINOIS,MIDWEST,Naperville,Park Avenue,MEM_000010,78288,SILVER,ACTIVE,LARGE GROUP,44-48
42.91892845102532,-87.2466100548057,ILLINOIS,MIDWEST,Aurora,Suburbs,MEM_000011,32287,PLATINUM,ACTIVE,INDIVIDUAL,29-33
39.128353934800906,-84.26443228981094,OHIO,MIDWEST,Dayton,West End,MEM_000012,75760,SILVER,ACTIVE,INDIVIDUAL,0-18
41.409530805703405,-87.89818711491576,ILLINOIS,MIDWEST,Naperville,Harbor Side,MEM_000013,37809,DIAMOND,ACTIVE,INDIVIDUAL,24-28
42.14480458631591,-87.92979605723819,ILLINOIS,MIDWEST,Aurora,Suburbs,MEM_000014,72029,GOLD,ACTIVE,SMALL BUSINESS,39-43
40.766504337904,-75.8104516243816,PENNSYLVANIA,NORTHEAST,Pittsburgh,Industrial Zone,MEM_000015,89931,SILVER,ACTIVE,INDIVIDUAL,44-48
